Name,Street,City,Region,Postal Code,Phone,Fax,Email,Invoice Style
32 Canadian Forces Health Services Centre,"Government of Canada
1 Yukon Lane",Toronto,ON,M3K 0A1,,,,Generic Invoice
AARON WAXMAN & ASSOIATES,"1120 FINCH AVE WEST 
SUITE 500",TORONTO,ON,M3J 3H7,(416) 661-4878,(416) 661-4808,,Generic Invoice
"ABOSAHMIN, SHUKRI AMRO G.",,,ON,,,,,Generic Invoice
ACCLAIM ABILITY MANAGEMENT,"82 PETER STREET, 4TH FLOOR",TORONTO,ON,M5V 2G5,(416) 486-9706,(416) 486-9254,,Generic Invoice
"Acclaim, Ability Management Inc","Attn: Suzanne Spencer
Fax: 1-866-486-8663",,,,,,,Generic Invoice
ACE INA Insurance,"25 Main Street West
Suite 1810",Hamilton,ON,L8P 1H1,,,,Generic Invoice
Actra Fraternal Benefits Society,1000 Yonge St.,Toronto,ON,M4W 2K2,,,,Generic Invoice
Adler Bytensky Prutschi Shikhman,5000 Yonge St Suite 1708,Toronto,ON,M2N 7E9,,,,Generic Invoice
Aetna International,,,ON,,,,,Generic Invoice
AGS Automotive Systems,675 Progress Ave,Scarborough,ON,M1H 2W9,(416) 438-6650 Ext. 2615,(416) 341-8766,,Generic Invoice
AIG Travel,"Japanese Assistance Department
2929 Allen Parkway, 14th Floor",Houston,TX,77019,,,,Generic Invoice
Allianz Canada,"130 Adelaide St. West
Suite 1600",Toronto,ON,M5H 3P5,(416) 961-5015,,,AISI Invoice
Allianz Global Risks US Insurance Company,,,ON,,,,,Generic Invoice
Allstate Insurance,311 Matheson Blvd,Mississauga,ON,L4Z 1X8,(905) 897-5318,(905) 897-5313,,AISI Invoice
Allstate Insurance Co.,"27 Allstate Parkway
Suite 100",Markham,ON,L3R 5P8,(905) 948-3558,(905) 475-4957,,AISI Invoice
Apex Occupational Health Solutions Inc.,"1601 River Road E., Unit 102",Kitchener,ON,N2A 3Y4,,,,Generic Invoice
Aronovitch Macaulay Rollo LLP,251 King Street East,Toronto ,ON,M5A 1K2,(416) 369-9393,(416) 369-0665,,Generic Invoice
Ascentus Insurance,2225 Erin Mills Parkway Suite 1000,Mississauga,ON,L5K 2S9,(905) 403-2333 Ext. 4659,(905) 403-2326,,AISI Invoice
Assessment Rehabilitation Services Inc.,"150 Consumers Road, Suite 500",Toronto,ON,M2J 1P9,,,,Generic Invoice
Assistplus,"Claim Services
27 Allstate Parkway #100",Markham,ON,L3E 5P8,(905) 940-4250,,,AISI Invoice
Atlas Copco,1025 Tristar Drive,Mississauga,ON,L5T 1W5,,,,Generic Invoice
Auger Hollinsworth Professional Corp,,,ON,,,,,Generic Invoice
